[INFO]- ################################################################################################
[INFO]- #                         _       ______   ________  ____    ____  _____                       #
[INFO]- #                        / \     |_   _ \ |_   __  ||_   \  /   _||_   _|                      #
[INFO]- #                       / _ \      | |_) |  | |_ \_|  |   \/   |    | |                        #
[INFO]- #                      / ___ \     |  __'.  |  _|     | |\  /| |    | |   _                    #
[INFO]- #                    _/ /   \ \_  _| |__) |_| |_     _| |_\/_| |_  _| |__/ |                   #
[INFO]- #                   |____| |____||_______/|_____|   |_____||_____||________|                   #
[INFO]- #                                                                                              #
[INFO]- ################################################################################################
[INFO]- num_threads : 1
[INFO]- +-------------------------------------- train data file ---------------------------------------+
[INFO]- | ################ file name ############### Atom number ## nframes ######### Element ######## |
[INFO]- |                              ../data/test.extxyz   128     100                Cu
[INFO]- | Number of files found:    1, number of image :  100
[INFO]- +----------------------------------------------------------------------------------------------+
[INFO]- +-------------------------------------- valid data file ---------------------------------------+
[INFO]- | ################ file name ############### Atom number ## nframes ######### Element ######## |
[INFO]- |                              ../data/test.extxyz   128     100                Cu
[INFO]- | Number of files found:    1, number of image :  100
[INFO]- +----------------------------------------------------------------------------------------------+
[WARNING]- Need 1093 epochs to reach limit_lr, but only train for 1 epochs!
[INFO]- ########################################--Start  Train--########################################
[INFO]- +------------------------------------------Start Loop------------------------------------------+
[INFO]- |-- Train Epoch:  1, batch size:  1, total iters:    100 --------------------------------------|
[INFO]- | Train Iters:     1 ,Loss: 1.33e+00 ,Time: 1.145 ,E_tot: 8.95e-01 ,Force: 4.34e-01
[INFO]- | Train Iters:     2 ,Loss: 1.13e+00 ,Time: 0.424 ,E_tot: 7.09e-01 ,Force: 4.21e-01
[INFO]- | Train Iters:     3 ,Loss: 9.35e-01 ,Time: 0.383 ,E_tot: 5.47e-01 ,Force: 3.88e-01
[INFO]- | Train Iters:     4 ,Loss: 7.95e-01 ,Time: 0.378 ,E_tot: 4.06e-01 ,Force: 3.89e-01
[INFO]- | Train Iters:     5 ,Loss: 6.48e-01 ,Time: 0.378 ,E_tot: 2.91e-01 ,Force: 3.57e-01
[INFO]- | Train Iters:     6 ,Loss: 5.44e-01 ,Time: 0.396 ,E_tot: 1.97e-01 ,Force: 3.47e-01
[INFO]- | Train Iters:     7 ,Loss: 4.51e-01 ,Time: 0.376 ,E_tot: 1.31e-01 ,Force: 3.21e-01
[INFO]- | Train Iters:     8 ,Loss: 3.55e-01 ,Time: 0.383 ,E_tot: 8.18e-02 ,Force: 2.73e-01
[INFO]- | Train Iters:     9 ,Loss: 3.67e-01 ,Time: 0.386 ,E_tot: 6.23e-02 ,Force: 3.05e-01
[INFO]- | Train Iters:    10 ,Loss: 3.54e-01 ,Time: 0.380 ,E_tot: 5.86e-02 ,Force: 2.95e-01
[INFO]- | Train Iters:    11 ,Loss: 3.41e-01 ,Time: 0.385 ,E_tot: 7.29e-02 ,Force: 2.68e-01
[INFO]- | Train Iters:    12 ,Loss: 3.46e-01 ,Time: 0.380 ,E_tot: 9.84e-02 ,Force: 2.48e-01
[INFO]- | Train Iters:    13 ,Loss: 3.38e-01 ,Time: 0.373 ,E_tot: 1.29e-01 ,Force: 2.09e-01
[INFO]- | Train Iters:    14 ,Loss: 3.49e-01 ,Time: 0.382 ,E_tot: 1.65e-01 ,Force: 1.84e-01
[INFO]- | Train Iters:    15 ,Loss: 4.16e-01 ,Time: 0.378 ,E_tot: 2.04e-01 ,Force: 2.12e-01
[INFO]- | Train Iters:    16 ,Loss: 4.31e-01 ,Time: 0.387 ,E_tot: 2.36e-01 ,Force: 1.96e-01
[INFO]- | Train Iters:    17 ,Loss: 3.90e-01 ,Time: 0.386 ,E_tot: 2.51e-01 ,Force: 1.39e-01
[INFO]- | Train Iters:    18 ,Loss: 4.03e-01 ,Time: 0.385 ,E_tot: 2.56e-01 ,Force: 1.47e-01
[INFO]- | Train Iters:    19 ,Loss: 4.01e-01 ,Time: 0.382 ,E_tot: 2.45e-01 ,Force: 1.57e-01
[INFO]- | Train Iters:    20 ,Loss: 3.41e-01 ,Time: 0.384 ,E_tot: 2.08e-01 ,Force: 1.33e-01
[INFO]- | Train Iters:    21 ,Loss: 3.25e-01 ,Time: 0.386 ,E_tot: 1.61e-01 ,Force: 1.64e-01
[INFO]- | Train Iters:    22 ,Loss: 2.53e-01 ,Time: 0.382 ,E_tot: 9.91e-02 ,Force: 1.54e-01
[INFO]- | Train Iters:    23 ,Loss: 1.72e-01 ,Time: 0.388 ,E_tot: 2.98e-02 ,Force: 1.42e-01
