[INFO]- ################################################################################################
[INFO]- #                         _       ______   ________  ____    ____  _____                       #
[INFO]- #                        / \     |_   _ \ |_   __  ||_   \  /   _||_   _|                      #
[INFO]- #                       / _ \      | |_) |  | |_ \_|  |   \/   |    | |                        #
[INFO]- #                      / ___ \     |  __'.  |  _|     | |\  /| |    | |   _                    #
[INFO]- #                    _/ /   \ \_  _| |__) |_| |_     _| |_\/_| |_  _| |__/ |                   #
[INFO]- #                   |____| |____||_______/|_____|   |_____||_____||________|                   #
[INFO]- #                                                                                              #
[INFO]- ################################################################################################
[INFO]- num_threads : 1
[INFO]- +-------------------------------------- train data file ---------------------------------------+
[INFO]- | ################ file name ############### Atom number ## nframes ######### Element ######## |
[INFO]- |                              ../data/test.extxyz   128     100                Cu
[INFO]- | Number of files found:    1, number of image :  100
[INFO]- +----------------------------------------------------------------------------------------------+
[INFO]- +-------------------------------------- valid data file ---------------------------------------+
[INFO]- | ################ file name ############### Atom number ## nframes ######### Element ######## |
[INFO]- |                              ../data/test.extxyz   128     100                Cu
[INFO]- | Number of files found:    1, number of image :  100
[INFO]- +----------------------------------------------------------------------------------------------+
[WARNING]- Need 674 epochs to reach limit_lr, but only train for 1 epochs!
[INFO]- ########################################--Start  Train--########################################
[INFO]- +------------------------------------------Start Loop------------------------------------------+
[INFO]- |-- Train Epoch:  1, batch size:  1, total iters:    100 --------------------------------------|
[INFO]- | Train Iters:     1 ,Loss: 2.52e+00 ,Time: 0.496 ,E_tot: 2.05e+00 ,Force: 3.94e-01 ,Virial: 7.78e-02
[INFO]- | Train Iters:     2 ,Loss: 2.69e+00 ,Time: 0.196 ,E_tot: 1.93e+00 ,Force: 4.17e-01 ,Virial: 3.42e-01
[INFO]- | Train Iters:     3 ,Loss: 1.98e+00 ,Time: 0.168 ,E_tot: 1.55e+00 ,Force: 3.85e-01 ,Virial: 4.27e-02
[INFO]- | Train Iters:     4 ,Loss: 1.89e+00 ,Time: 0.088 ,E_tot: 1.21e+00 ,Force: 3.66e-01 ,Virial: 3.17e-01
[INFO]- | Train Iters:     5 ,Loss: 1.76e+00 ,Time: 0.093 ,E_tot: 9.51e-01 ,Force: 3.78e-01 ,Virial: 4.31e-01
[INFO]- | Train Iters:     6 ,Loss: 1.55e+00 ,Time: 0.088 ,E_tot: 7.51e-01 ,Force: 4.14e-01 ,Virial: 3.82e-01
[INFO]- | Train Iters:     7 ,Loss: 1.21e+00 ,Time: 0.094 ,E_tot: 5.96e-01 ,Force: 4.08e-01 ,Virial: 2.11e-01
[INFO]- | Train Iters:     8 ,Loss: 9.78e-01 ,Time: 0.098 ,E_tot: 4.59e-01 ,Force: 3.88e-01 ,Virial: 1.31e-01
[INFO]- | Train Iters:     9 ,Loss: 7.69e-01 ,Time: 0.097 ,E_tot: 3.26e-01 ,Force: 3.58e-01 ,Virial: 8.46e-02
[INFO]- | Train Iters:    10 ,Loss: 7.32e-01 ,Time: 0.092 ,E_tot: 1.89e-01 ,Force: 3.80e-01 ,Virial: 1.64e-01
[INFO]- | Train Iters:    11 ,Loss: 5.87e-01 ,Time: 0.093 ,E_tot: 4.22e-02 ,Force: 3.77e-01 ,Virial: 1.67e-01
[INFO]- | Train Iters:    12 ,Loss: 5.97e-01 ,Time: 0.100 ,E_tot: 1.02e-01 ,Force: 3.73e-01 ,Virial: 1.22e-01
[INFO]- | Train Iters:    13 ,Loss: 6.80e-01 ,Time: 0.093 ,E_tot: 2.32e-01 ,Force: 3.58e-01 ,Virial: 9.01e-02
[INFO]- | Train Iters:    14 ,Loss: 8.10e-01 ,Time: 0.097 ,E_tot: 3.34e-01 ,Force: 3.37e-01 ,Virial: 1.39e-01
[INFO]- | Train Iters:    15 ,Loss: 8.92e-01 ,Time: 0.093 ,E_tot: 4.13e-01 ,Force: 3.54e-01 ,Virial: 1.24e-01
[INFO]- | Train Iters:    16 ,Loss: 9.81e-01 ,Time: 0.095 ,E_tot: 4.61e-01 ,Force: 3.48e-01 ,Virial: 1.71e-01
[INFO]- | Train Iters:    17 ,Loss: 1.09e+00 ,Time: 0.093 ,E_tot: 4.82e-01 ,Force: 3.61e-01 ,Virial: 2.45e-01
[INFO]- | Train Iters:    18 ,Loss: 1.06e+00 ,Time: 0.093 ,E_tot: 4.76e-01 ,Force: 3.64e-01 ,Virial: 2.19e-01
[INFO]- | Train Iters:    19 ,Loss: 1.04e+00 ,Time: 0.092 ,E_tot: 4.47e-01 ,Force: 3.70e-01 ,Virial: 2.23e-01
