[INFO]- ################################################################################################
[INFO]- #                         _       ______   ________  ____    ____  _____                       #
[INFO]- #                        / \     |_   _ \ |_   __  ||_   \  /   _||_   _|                      #
[INFO]- #                       / _ \      | |_) |  | |_ \_|  |   \/   |    | |                        #
[INFO]- #                      / ___ \     |  __'.  |  _|     | |\  /| |    | |   _                    #
[INFO]- #                    _/ /   \ \_  _| |__) |_| |_     _| |_\/_| |_  _| |__/ |                   #
[INFO]- #                   |____| |____||_______/|_____|   |_____||_____||________|                   #
[INFO]- #                                                                                              #
[INFO]- ################################################################################################
[INFO]- num_threads : 1
[INFO]- +-------------------------------------- train data file ---------------------------------------+
[INFO]- | ################ file name ############### Atom number ## nframes ######### Element ######## |
[INFO]- |                              ../data/test.extxyz   128     100                Cu
[INFO]- | Number of files found:    1, number of image :  100
[INFO]- +----------------------------------------------------------------------------------------------+
[INFO]- +-------------------------------------- valid data file ---------------------------------------+
[INFO]- | ################ file name ############### Atom number ## nframes ######### Element ######## |
[INFO]- |                              ../data/test.extxyz   128     100                Cu
[INFO]- | Number of files found:    1, number of image :  100
[INFO]- +----------------------------------------------------------------------------------------------+
[WARNING]- Need 1093 epochs to reach limit_lr, but only train for 1 epochs!
[INFO]- ########################################--Start  Train--########################################
[INFO]- +------------------------------------------Start Loop------------------------------------------+
[INFO]- |-- Train Epoch:  1, batch size:  1, total iters:    100 --------------------------------------|
[INFO]- | Train Iters:     1 ,Loss: 3.13e+00 ,Time: 0.060 ,E_tot: 2.52e+00 ,Force: 6.12e-01
[INFO]- | Train Iters:     2 ,Loss: 3.13e+00 ,Time: 0.024 ,E_tot: 2.52e+00 ,Force: 6.03e-01
[INFO]- | Train Iters:     3 ,Loss: 3.21e+00 ,Time: 0.004 ,E_tot: 2.51e+00 ,Force: 7.02e-01
[INFO]- | Train Iters:     4 ,Loss: 3.13e+00 ,Time: 0.004 ,E_tot: 2.53e+00 ,Force: 5.96e-01
[INFO]- | Train Iters:     5 ,Loss: 3.24e+00 ,Time: 0.008 ,E_tot: 2.50e+00 ,Force: 7.43e-01
[INFO]- | Train Iters:     6 ,Loss: 3.17e+00 ,Time: 0.008 ,E_tot: 2.53e+00 ,Force: 6.35e-01
[INFO]- | Train Iters:     7 ,Loss: 3.14e+00 ,Time: 0.008 ,E_tot: 2.54e+00 ,Force: 5.93e-01
[INFO]- | Train Iters:     8 ,Loss: 3.14e+00 ,Time: 0.008 ,E_tot: 2.55e+00 ,Force: 5.90e-01
[INFO]- | Train Iters:     9 ,Loss: 3.14e+00 ,Time: 0.008 ,E_tot: 2.55e+00 ,Force: 5.89e-01
[INFO]- | Train Iters:    10 ,Loss: 3.20e+00 ,Time: 0.004 ,E_tot: 2.54e+00 ,Force: 6.53e-01
[INFO]- | Train Iters:    11 ,Loss: 3.22e+00 ,Time: 0.008 ,E_tot: 2.53e+00 ,Force: 6.90e-01
[INFO]- | Train Iters:    12 ,Loss: 3.17e+00 ,Time: 0.009 ,E_tot: 2.56e+00 ,Force: 6.14e-01
[INFO]- | Train Iters:    13 ,Loss: 3.22e+00 ,Time: 0.008 ,E_tot: 2.55e+00 ,Force: 6.62e-01
[INFO]- | Train Iters:    14 ,Loss: 3.16e+00 ,Time: 0.008 ,E_tot: 2.57e+00 ,Force: 5.89e-01
[INFO]- | Train Iters:    15 ,Loss: 3.16e+00 ,Time: 0.008 ,E_tot: 2.58e+00 ,Force: 5.81e-01
[INFO]- | Train Iters:    16 ,Loss: 3.27e+00 ,Time: 0.008 ,E_tot: 2.55e+00 ,Force: 7.20e-01
[INFO]- | Train Iters:    17 ,Loss: 3.16e+00 ,Time: 0.008 ,E_tot: 2.58e+00 ,Force: 5.76e-01
[INFO]- | Train Iters:    18 ,Loss: 3.24e+00 ,Time: 0.004 ,E_tot: 2.57e+00 ,Force: 6.75e-01
[INFO]- | Train Iters:    19 ,Loss: 3.22e+00 ,Time: 0.004 ,E_tot: 2.58e+00 ,Force: 6.45e-01
[INFO]- | Train Iters:    20 ,Loss: 3.28e+00 ,Time: 0.008 ,E_tot: 2.56e+00 ,Force: 7.23e-01
[INFO]- | Train Iters:    21 ,Loss: 3.20e+00 ,Time: 0.008 ,E_tot: 2.59e+00 ,Force: 6.03e-01
[INFO]- | Train Iters:    22 ,Loss: 3.17e+00 ,Time: 0.004 ,E_tot: 2.60e+00 ,Force: 5.73e-01
[INFO]- | Train Iters:    23 ,Loss: 3.19e+00 ,Time: 0.004 ,E_tot: 2.60e+00 ,Force: 5.84e-01
